uzytkownik,budzet,cel,czestotliwosc,teren,doswiadczenie,pogoda,dystans,rower
mężczyzna,2000,sport,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,5,Rower MTB KROSS Level 2.0 SM
kobieta,4000,turystyka,raz w tygodniu,góry,średniozaawansowany,słoneczna,30,Rower MTB KROSS Hexagon 4.0 29
kobieta,5000,sport,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,20,"Rower MTB KELLYS Spider 50 29"""
mężczyzna,4000,sport,raz w tygodniu,góry,początkujący,deszczowa,10,Rower MTB KROSS Hexagon 4.0 27.5
mężczyzna,3000,rekreacja,codziennie,teren mieszany,średniozaawansowany,deszczowa,30,Rower MTB ROMET Rambler R7.3 CS
kobieta,1500,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,50,Rower MTB GIANT Talon 5 27.5
mężczyzna,2000,rekreacja,codziennie,miasto,średniozaawansowany,deszczowa,5,Rower MTB SUPERIOR XC 819
kobieta,5000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,deszczowa,10,Rower składak ROMET Wigry Classic
mężczyzna,10000,turystyka,raz w tygodniu,ścieżki rowerowe,początkujący,każda,10,Rower MTB KROSS Level 1.0
kobieta,5000,sport,raz w tygodniu,góry,początkujący,każda,5,"Rower MTB KELLYS Spider 50 27.5"""
mężczyzna,1000,rekreacja,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,50,Rower MTB KROSS Level 2.0 SM
kobieta,5000,turystyka,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,10,Rower MTB CANNONDALE Trail 6 MS
kobieta,2000,sport,raz w tygodniu,teren mieszany,początkujący,każda,20,Rower MTB damski ROMET Jolene 7.3 CS
mężczyzna,4000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,każda,10,Rower składak OXFELD Urbo
kobieta,1500,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,50,Rower MTB KROSS Level 2.0 29 MS SM
kobieta,10000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,50,Rower miejski damski KELLYS Arwen Dutch
mężczyzna,4000,dojazdy,kilka razy w tygodniu,góry,średniozaawansowany,każda,30,Rower MTB SUPERIOR XC 819
kobieta,7000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,20,Rower MTB OXFELD XC-6.5
kobieta,5000,dojazdy,codziennie,góry,zaawansowany,dobra,20,Rower MTB KROSS Level 2.0 29 MS SM
kobieta,1500,sport,kilka razy w tygodniu,miasto,zaawansowany,każda,50,"Rower MTB KELLYS Spider 50 29"""
mężczyzna,7000,rekreacja,kilka razy w tygodniu,teren mieszany,początkujący,słoneczna,20,Rower MTB GASGAS TR2 Street
kobieta,7000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,50,Rower MTB damski KROSS Lea 6.0 PW
kobieta,10000,dojazdy,raz w tygodniu,miasto,średniozaawansowany,każda,30,Rower MTB damski LIV Tempt 29 4
kobieta,1000,dojazdy,codziennie,miasto,zaawansowany,słoneczna,5,"Rower MTB damski KELLYS Vanity 70 29"" 2023"
kobieta,3000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,10,"Rower MTB damski KELLYS Vanity 70 27.5"" 2023"
kobieta,7000,dojazdy,codziennie,miasto,zaawansowany,każda,30,"Rower MTB damski KELLYS Vanity 70 29"" 2023"
mężczyzna,4000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,słoneczna,30,Rower MTB ORBEA Onna 29 40
kobieta,7000,rekreacja,codziennie,góry,średniozaawansowany,dobra,10,Rower MTB ROMET Mustang M1 CS
kobieta,10000,rekreacja,raz w tygodniu,miasto,zaawansowany,deszczowa,30,Rower miejski damski KELLYS Arwen Dutch
kobieta,1000,turystyka,kilka razy w tygodniu,góry,początkujący,słoneczna,10,Rower miejski damski KELLYS Arwen Dutch
mężczyzna,4000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,50,Rower MTB KROSS Level 3.0 SM Deore
mężczyzna,7000,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,deszczowa,5,"Rower MTB KELLYS Spider 70 29"""
mężczyzna,10000,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,każda,5,Rower MTB KROSS Level 3.0 SM Deore
mężczyzna,1500,dojazdy,raz w tygodniu,miasto,początkujący,słoneczna,5,Rower MTB ORBEA Onna 29 40
mężczyzna,1000,turystyka,raz w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower MTB ORBEA Onna 29 40
kobieta,1500,turystyka,raz w tygodniu,góry,zaawansowany,każda,50,Rower MTB ROCK MACHINE Blizz 10-29
kobieta,1500,turystyka,raz w tygodniu,góry,średniozaawansowany,deszczowa,20,Rower trekkingowy damski ROMET Gazela 4
kobieta,1500,dojazdy,codziennie,teren mieszany,początkujący,deszczowa,20,Rower trekkingowy damski ROMET Gazela 4
kobieta,3000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,dobra,30,"Rower MTB damski KELLYS Vanity 70 27.5"" 2023"
kobieta,3000,rekreacja,raz w tygodniu,góry,zaawansowany,dobra,20,Rower miejski damski KELLYS Arwen Dutch
kobieta,2000,turystyka,raz w tygodniu,góry,średniozaawansowany,dobra,30,Rower miejski damski KELLYS Arwen Dutch
kobieta,5000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,5,Rower MTB LAPIERRE Edge 5.7
kobieta,2000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,30,Rower MTB LAPIERRE Edge 5.9
kobieta,1500,turystyka,kilka razy w tygodniu,góry,zaawansowany,dobra,5,Rower MTB ROMET Rambler R9.2 CS
mężczyzna,3000,sport,raz w tygodniu,góry,zaawansowany,deszczowa,5,Rower MTB ROMET Rambler R9.2 CS
kobieta,7000,dojazdy,raz w tygodniu,góry,zaawansowany,każda,20,Rower MTB damski KROSS Espera 3.0 27.5
kobieta,7000,turystyka,raz w tygodniu,góry,zaawansowany,deszczowa,30,"Rower MTB damski KELLYS Vanity 70 29"""
mężczyzna,3000,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,dobra,30,Rower MTB ROCK MACHINE Catherine 20-29
mężczyzna,5000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,20,Rower MTB OXFELD XC7
mężczyzna,5000,rekreacja,raz w tygodniu,góry,zaawansowany,każda,30,Rower MTB KROSS Hexagon 5.0 29 Cues
mężczyzna,3000,sport,kilka razy w tygodniu,teren mieszany,początkujący,dobra,30,Rower szosowy ROMET Huragan 1
kobieta,10000,sport,kilka razy w tygodniu,teren mieszany,zaawansowany,deszczowa,30,Rower MTB GASGAS TR3 Street
mężczyzna,7000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,30,Rower MTB R-RAYMON HardRay 2.5
kobieta,10000,sport,codziennie,ścieżki rowerowe,zaawansowany,deszczowa,30,Rower MTB ROMET Mustang M4
mężczyzna,4000,sport,kilka razy w tygodniu,teren mieszany,początkujący,dobra,20,Rower trekkingowy KROSS Sentio 4.0
kobieta,1500,turystyka,kilka razy w tygodniu,miasto,początkujący,deszczowa,5,Rower MTB damski SUPERIOR XC 819 W
mężczyzna,1500,sport,raz w tygodniu,teren mieszany,początkujący,dobra,30,Rower MTB SENSA Livigno Evo C9
kobieta,1000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,30,Rower MTB KROSS Esprit 3.0 27.5
kobieta,7000,dojazdy,kilka razy w tygodniu,teren mieszany,początkujący,dobra,5,Rower miejski EMBASSY Nero 28
mężczyzna,10000,rekreacja,raz w tygodniu,góry,początkujący,słoneczna,30,Rower MTB GIANT Talon 4 27.5
kobieta,1000,turystyka,codziennie,ścieżki rowerowe,początkujący,deszczowa,30,Rower MTB KROSS Hexagon 5.0 27.5 Cues
kobieta,1000,sport,codziennie,teren mieszany,początkujący,każda,10,Rower MTB damski KROSS Espera 3.0 29
kobieta,7000,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,każda,10,Rower miejski damski EMBASSY Salvia 28
kobieta,2000,sport,raz w tygodniu,ścieżki rowerowe,początkujący,słoneczna,10,Rower MTB R-RAYMON HardRay Nine 2.0
kobieta,10000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,dobra,20,"Rower MTB damski KELLYS Vanity 70 29"""
kobieta,7000,rekreacja,codziennie,teren mieszany,zaawansowany,deszczowa,20,Rower MTB ROCK MACHINE Catherine 40-27
kobieta,7000,dojazdy,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,5,"Rower MTB KELLYS Spider 70 27.5"""
mężczyzna,5000,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,dobra,20,Rower MTB KROSS Level 2.0 Cues
kobieta,7000,rekreacja,raz w tygodniu,góry,średniozaawansowany,słoneczna,50,Rower MTB KROSS Level 2.0 Cues
kobieta,7000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,każda,50,Rower MTB KROSS Esprit 3.0 29
mężczyzna,7000,dojazdy,codziennie,góry,średniozaawansowany,deszczowa,20,Rower MTB GASGAS TR3
kobieta,1500,rekreacja,raz w tygodniu,teren mieszany,początkujący,słoneczna,50,Rower trekkingowy damski KROSS Trans 4.0 BG
kobieta,4000,rekreacja,codziennie,góry,początkujący,słoneczna,30,Rower trekkingowy damski KROSS Trans 4.0 BG
kobieta,2000,rekreacja,raz w tygodniu,góry,średniozaawansowany,słoneczna,20,Rower trekkingowy KROSS Trans 4.0 BG
mężczyzna,1500,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,10,Rower trekkingowy KROSS Trans 4.0 M
kobieta,5000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,dobra,5,Rower trekkingowy damski ROMET Gazela 5
kobieta,1000,rekreacja,codziennie,miasto,początkujący,słoneczna,20,Rower trekkingowy damski ROMET Gazela 5
kobieta,1000,dojazdy,raz w tygodniu,góry,zaawansowany,deszczowa,50,Rower trekkingowy KROSS Sentio 4.0
mężczyzna,3000,turystyka,raz w tygodniu,teren mieszany,średniozaawansowany,słoneczna,50,"Rower MTB KROSS Hexagon 6.0 27,5"""
mężczyzna,2000,dojazdy,raz w tygodniu,teren mieszany,początkujący,dobra,30,Rower miejski MARIN Kentfield 2 ST
kobieta,3000,turystyka,kilka razy w tygodniu,teren mieszany,początkujący,dobra,10,Rower MTB KROSS Hexagon 6.0 27.5 MS
kobieta,2000,turystyka,codziennie,góry,średniozaawansowany,deszczowa,10,Rower MTB damski LIV Tempt 29 3-GE
kobieta,4000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower MTB SUPERIOR XC 859 Alivio
mężczyzna,5000,turystyka,raz w tygodniu,teren mieszany,początkujący,każda,20,Rower MTB SUPERIOR XC 859 Alivio
kobieta,3000,sport,codziennie,teren mieszany,początkujący,słoneczna,30,Rower MTB SUPERIOR XC 859 Alivio
kobieta,5000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,deszczowa,50,"Rower MTB KROSS Hexagon 6.0 29"""
kobieta,2000,sport,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,20,Rower MTB damski KROSS Lea 8.0 27.5 PP
kobieta,3000,rekreacja,raz w tygodniu,góry,średniozaawansowany,dobra,50,Rower miejski MARIN Kentfield 2
mężczyzna,4000,sport,kilka razy w tygodniu,miasto,średniozaawansowany,każda,5,Rower trekkingowy KROSS Trans 5.0
mężczyzna,2000,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,dobra,30,Rower MTB KROSS Hexagon 6.0 29 MS
kobieta,10000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,każda,30,Rower MTB damski SUPERIOR XC 859 W
kobieta,1000,rekreacja,kilka razy w tygodniu,góry,średniozaawansowany,deszczowa,5,Rower szosowy KROSS Vento 2.0
mężczyzna,7000,sport,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,10,Rower szosowy KROSS Vento 2.0
kobieta,2000,sport,codziennie,teren mieszany,zaawansowany,słoneczna,50,Rower MTB KROSS Level 4.0 29 PW SR
kobieta,5000,turystyka,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,dobra,10,Rower MTB ROMET Mustang M3 CS
kobieta,7000,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,każda,30,Rower MTB ROMET Rambler R9.3 CS
kobieta,2000,turystyka,raz w tygodniu,góry,średniozaawansowany,deszczowa,20,Rower MTB ROMET Rambler R9.3 CS
mężczyzna,1500,sport,raz w tygodniu,miasto,początkujący,każda,5,Rower miejski MARIN Kentfield 2
mężczyzna,2000,dojazdy,kilka razy w tygodniu,miasto,początkujący,każda,20,Rower miejski MARIN Kentfield 2 ST
mężczyzna,1000,rekreacja,codziennie,ścieżki rowerowe,początkujący,dobra,30,Rower MTB ROCK MACHINE Blizz 27 HD
mężczyzna,7000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,20,Rower MTB CANNONDALE Trail 6
mężczyzna,5000,rekreacja,raz w tygodniu,miasto,zaawansowany,każda,5,Rower szosowy SENSA Emilia Tiagra
kobieta,7000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,deszczowa,10,Rower MTB damski KROSS Lea 5.0 27.5 Cues
kobieta,1000,turystyka,codziennie,miasto,zaawansowany,każda,10,Rower miejski damski EMBASSY Cherry Deluxe 28
mężczyzna,1000,sport,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,10,Rower MTB ROCK MACHINE Blizz 30-29
mężczyzna,1000,rekreacja,raz w tygodniu,teren mieszany,początkujący,każda,30,Rower szosowy SENSA Emilia Tiagra
kobieta,10000,turystyka,codziennie,ścieżki rowerowe,początkujący,każda,30,Rower MTB KROSS Hexagon 4.0 EQ 29
kobieta,10000,turystyka,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,20,Rower MTB damski KROSS Lea 5.0 29 Cues
kobieta,4000,dojazdy,kilka razy w tygodniu,miasto,początkujący,deszczowa,50,Rower miejski damski EMBASSY Coco Deluxe 26
kobieta,1500,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,deszczowa,50,Rower miejski damski EMBASSY White Rose Deluxe 26
kobieta,10000,turystyka,raz w tygodniu,teren mieszany,początkujący,dobra,10,Rower miejski damski EMBASSY Magic Rocket Deluxe 28
kobieta,4000,sport,raz w tygodniu,góry,początkujący,słoneczna,20,Rower miejski damski EMBASSY Hana Deluxe 28
kobieta,1500,sport,raz w tygodniu,miasto,średniozaawansowany,słoneczna,50,Rower miejski damski EMBASSY Glamour Deluxe 28
kobieta,10000,turystyka,raz w tygodniu,góry,zaawansowany,deszczowa,10,Rower MTB ROCK MACHINE Torrent 30-29
kobieta,4000,dojazdy,raz w tygodniu,teren mieszany,średniozaawansowany,słoneczna,5,Rower MTB KROSS Level 4.0 PW SR GL
kobieta,5000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,deszczowa,5,Rower MTB damski KROSS Lea 5.0 27.5 Cues
kobieta,2000,dojazdy,raz w tygodniu,góry,początkujący,słoneczna,30,Rower MTB damski KROSS Lea 5.0 27.5 Cues
kobieta,1500,rekreacja,kilka razy w tygodniu,miasto,zaawansowany,deszczowa,10,Rower MTB KROSS Hexagon 4.0 EQ 27.5
kobieta,5000,dojazdy,codziennie,góry,początkujący,każda,50,Rower miejski damski EMBASSY Panama Deluxe 26
kobieta,2000,turystyka,kilka razy w tygodniu,miasto,średniozaawansowany,słoneczna,20,Rower MTB GIANT Talon 3 27.5
kobieta,7000,rekreacja,raz w tygodniu,góry,początkujący,każda,30,Rower trekkingowy KROSS Trans 4.0 M
mężczyzna,3000,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,dobra,20,Rower MTB CANNONDALE Trail 5
mężczyzna,2000,turystyka,raz w tygodniu,miasto,średniozaawansowany,każda,50,Rower MTB CANNONDALE Trail 5
kobieta,1000,turystyka,raz w tygodniu,miasto,zaawansowany,słoneczna,10,Rower gravel ROMET Finale
mężczyzna,1500,turystyka,kilka razy w tygodniu,miasto,zaawansowany,dobra,50,Rower gravel ROMET Finale
kobieta,5000,rekreacja,kilka razy w tygodniu,miasto,początkujący,każda,30,Rower crossowy damski KROSS Trans 3.0 D
mężczyzna,3000,dojazdy,codziennie,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower MTB R-RAYMON HardRay Nine 3.0
kobieta,2000,dojazdy,raz w tygodniu,miasto,zaawansowany,każda,10,Rower MTB damski SUPERIOR XC 819 W 2022
kobieta,4000,dojazdy,raz w tygodniu,teren mieszany,zaawansowany,słoneczna,10,Rower MTB SUPERIOR XC 859 Deore
kobieta,5000,sport,raz w tygodniu,góry,średniozaawansowany,słoneczna,20,Rower trekkingowy KROSS Trans 4.0 M
kobieta,4000,rekreacja,codziennie,ścieżki rowerowe,zaawansowany,każda,5,Rower MTB GIANT Talon 2 27.5
kobieta,10000,turystyka,codziennie,ścieżki rowerowe,początkujący,dobra,50,Rower MTB damski LIV Tempt 29 2-GE
kobieta,10000,rekreacja,raz w tygodniu,teren mieszany,początkujący,dobra,10,Rower miejski damski EMBASSY Black Panther Deluxe 26
mężczyzna,4000,dojazdy,codziennie,ścieżki rowerowe,zaawansowany,słoneczna,20,Rower MTB KROSS Level 1.0 GL
mężczyzna,1500,rekreacja,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,10,Rower trekkingowy KROSS Explorer 3.0
kobieta,1500,rekreacja,codziennie,góry,zaawansowany,słoneczna,20,Rower trekkingowy damski KROSS Trans 5.0 BG
kobieta,10000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower trekkingowy KROSS Trans 5.0 BG Cues
kobieta,4000,rekreacja,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,10,Rower MTB ROMET Rambler R9.4 CS
kobieta,1500,turystyka,codziennie,miasto,średniozaawansowany,każda,30,Rower MTB SENSA Livigno Evo Tour
kobieta,1500,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,każda,5,Rower MTB damski LIV Tempt 27.5 2-GE
mężczyzna,5000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,20,Rower MTB ROMET Mustang M5
kobieta,4000,sport,raz w tygodniu,góry,początkujący,deszczowa,20,Rower MTB ROMET Mustang M6 
kobieta,10000,dojazdy,codziennie,góry,początkujący,deszczowa,50,Rower MTB damski KROSS Lea 4.0 27.5
kobieta,1000,rekreacja,raz w tygodniu,teren mieszany,zaawansowany,dobra,20,Rower MTB damski KROSS Lea 4.0 27.5
kobieta,2000,rekreacja,raz w tygodniu,ścieżki rowerowe,średniozaawansowany,słoneczna,20,Rower MTB damski CANNONDALE Trail 5
kobieta,2000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,5,Rower MTB damski CANNONDALE Trail 5
kobieta,10000,sport,kilka razy w tygodniu,miasto,zaawansowany,dobra,30,Rower trekkingowy damski KROSS Explorer 3.0
kobieta,3000,turystyka,codziennie,teren mieszany,zaawansowany,słoneczna,20,Rower MTB KROSS Hexagon 8.0
mężczyzna,1500,sport,raz w tygodniu,teren mieszany,początkujący,deszczowa,30,Rower gravel KROSS Esker 1.0
kobieta,5000,dojazdy,raz w tygodniu,teren mieszany,zaawansowany,dobra,10,Rower MTB ORBEA Onna 29 30
mężczyzna,2000,sport,codziennie,ścieżki rowerowe,początkujący,deszczowa,5,Rower szosowy SENSA Romagna Tiagra
mężczyzna,7000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower gravel KROSS Esker 1.0
mężczyzna,2000,sport,codziennie,miasto,początkujący,deszczowa,5,Rower MTB ROMET Mustang M4 CS
kobieta,4000,sport,raz w tygodniu,góry,średniozaawansowany,każda,10,Rower MTB ORBEA Onna 29 30
mężczyzna,4000,dojazdy,codziennie,teren mieszany,zaawansowany,dobra,50,Rower MTB GHOST Kato Universal 29
mężczyzna,1000,dojazdy,codziennie,ścieżki rowerowe,początkujący,słoneczna,20,Rower MTB R-RAYMON Nayta
mężczyzna,10000,dojazdy,kilka razy w tygodniu,góry,zaawansowany,każda,20,Rower MTB KROSS Level 4.0 Cues
mężczyzna,1500,rekreacja,raz w tygodniu,miasto,średniozaawansowany,słoneczna,50,Rower MTB KROSS Level 4.0 Cues
kobieta,2000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,dobra,20,Rower MTB damski KROSS Level 4.0 Cues
mężczyzna,4000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,30,Rower MTB R-RAYMON HardRay Seven 3.0
kobieta,1000,turystyka,raz w tygodniu,ścieżki rowerowe,początkujący,dobra,10,Rower MTB damski KROSS Level 4.0 Cues
kobieta,4000,dojazdy,raz w tygodniu,góry,początkujący,każda,10,Rower MTB KROSS Level 5.0 FSA GL
mężczyzna,7000,sport,codziennie,teren mieszany,zaawansowany,dobra,10,Rower MTB ROMET Monsun LTD Carbon
kobieta,1500,dojazdy,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,5,Rower miejski MARIN Muirwoods
kobieta,4000,sport,codziennie,góry,średniozaawansowany,deszczowa,5,Rower trekkingowy GIANT Roam EX
kobieta,7000,rekreacja,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,30,Rower trekkingowy damski LIV Rove EX
kobieta,1000,sport,codziennie,teren mieszany,zaawansowany,słoneczna,5,Rower MTB KROSS Level 5.0 FSA GL
mężczyzna,3000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,każda,10,Rower szosowy LAPIERRE Sensium 3.0
mężczyzna,2000,sport,kilka razy w tygodniu,ścieżki rowerowe,zaawansowany,deszczowa,30,Rower miejski MARIN Larkspur 1
mężczyzna,3000,sport,raz w tygodniu,ścieżki rowerowe,początkujący,deszczowa,50,Rower MTB ROMET Monsun LTD Carbon
kobieta,1000,sport,raz w tygodniu,miasto,zaawansowany,każda,20,Rower trekkingowy ROMET Wagant 9
kobieta,1000,turystyka,kilka razy w tygodniu,góry,średniozaawansowany,słoneczna,20,Rower MTB damski KROSS Lea 8.0 29 PW
mężczyzna,1500,sport,codziennie,góry,zaawansowany,dobra,30,Rower MTB KROSS Level 5.0
mężczyzna,10000,sport,codziennie,góry,początkujący,słoneczna,20,Rower składak DAHON Hit D6
mężczyzna,10000,rekreacja,kilka razy w tygodniu,miasto,średniozaawansowany,każda,50,Rower MTB MARIN Bobcat Trail 3 27.5
kobieta,4000,rekreacja,codziennie,teren mieszany,zaawansowany,dobra,20,Rower gravel FELT Broam 60
kobieta,1000,sport,kilka razy w tygodniu,ścieżki rowerowe,początkujący,słoneczna,5,Rower MTB damski KROSS Lea 4.0 EQ 27.5
kobieta,5000,rekreacja,raz w tygodniu,góry,zaawansowany,dobra,5,Rower MTB KROSS Hexagon 5.0 29 Cues
mężczyzna,7000,turystyka,kilka razy w tygodniu,góry,zaawansowany,dobra,30,Rower MTB MARIN Bobcat Trail 3 29
kobieta,2000,turystyka,raz w tygodniu,teren mieszany,zaawansowany,każda,5,Rower gravel OCTANE ONE Kode
kobieta,3000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,50,Rower MTB ROMET Mustang M6
mężczyzna,1500,turystyka,codziennie,miasto,zaawansowany,deszczowa,50,Rower MTB KELLYS Spider X50
mężczyzna,7000,dojazdy,kilka razy w tygodniu,teren mieszany,średniozaawansowany,słoneczna,10,Rower MTB KELLYS Spider X50
kobieta,3000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,słoneczna,20,Rower MTB ROCK MACHINE Torrent 50-29
mężczyzna,5000,sport,raz w tygodniu,ścieżki rowerowe,zaawansowany,każda,10,Rower MTB R-RAYMON HardRay Nine 4.0
kobieta,1000,rekreacja,raz w tygodniu,teren mieszany,początkujący,każda,30,Rower trekkingowy KALKHOFF Image HS
kobieta,3000,dojazdy,codziennie,teren mieszany,zaawansowany,słoneczna,50,Rower gravel ROMET Aspre 1
mężczyzna,4000,dojazdy,codziennie,góry,średniozaawansowany,każda,20,Rower MTB GHOST Kato Universal 27.5
mężczyzna,2000,dojazdy,raz w tygodniu,ścieżki rowerowe,początkujący,dobra,30,Rower MTB KROSS Level 6.0 PW SS GL
kobieta,4000,dojazdy,codziennie,góry,średniozaawansowany,każda,10,Rower MTB damski SUPERIOR XC 879 W
mężczyzna,1500,turystyka,codziennie,góry,średniozaawansowany,dobra,5,Rower MTB KELLYS Spider 90
kobieta,1000,rekreacja,raz w tygodniu,miasto,zaawansowany,każda,5,Rower gravel OXFELD GR-2
mężczyzna,5000,turystyka,kilka razy w tygodniu,miasto,zaawansowany,słoneczna,50,Rower składak DAHON Vybe D7
mężczyzna,10000,rekreacja,codziennie,teren mieszany,średniozaawansowany,deszczowa,50,Rower trekkingowy KROSS Trans 7.0 BG Cues
mężczyzna,2000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,średniozaawansowany,deszczowa,50,Rower MTB SENSA Livigno Evo Comp Grey
kobieta,3000,rekreacja,raz w tygodniu,teren mieszany,średniozaawansowany,deszczowa,50,Rower MTB SUPERIOR XC 879
mężczyzna,2000,rekreacja,raz w tygodniu,miasto,zaawansowany,deszczowa,5,Rower MTB SUPERIOR XC 879
kobieta,10000,turystyka,raz w tygodniu,ścieżki rowerowe,zaawansowany,słoneczna,30,Rower składak DAHON Vybe D7
mężczyzna,1500,sport,raz w tygodniu,góry,początkujący,deszczowa,5,Rower składak DAHON Vybe D7
kobieta,5000,rekreacja,codziennie,góry,początkujący,każda,30,Rower MTB KROSS Level 5.0 Cues
kobieta,4000,sport,kilka razy w tygodniu,teren mieszany,początkujący,dobra,5,Rower MTB damski KROSS Espera 5.0 27.5
kobieta,3000,rekreacja,codziennie,góry,początkujący,dobra,10,Rower MTB damski KROSS Espera 5.0 29
kobieta,10000,turystyka,raz w tygodniu,ścieżki rowerowe,początkujący,słoneczna,20,Rower MTB KROSS Level 6.0 PW SS
kobieta,3000,turystyka,raz w tygodniu,ścieżki rowerowe,zaawansowany,dobra,30,Rower MTB damski SUPERIOR XC 879 W
kobieta,4000,dojazdy,codziennie,miasto,średniozaawansowany,dobra,30,Rower MTB KROSS Level 5.0 Cues
kobieta,7000,dojazdy,kilka razy w tygodniu,teren mieszany,średniozaawansowany,deszczowa,50,Rower gravel KROSS Esker 2.0 MS
mężczyzna,7000,dojazdy,codziennie,teren mieszany,zaawansowany,deszczowa,50,Rower gravel OCTANE ONE Kode ADV
mężczyzna,7000,dojazdy,raz w tygodniu,ścieżki rowerowe,zaawansowany,każda,30,Rower MTB KROSS Esprit 6.0
mężczyzna,1500,turystyka,kilka razy w tygodniu,góry,początkujący,każda,50,Rower MTB OCTANE ONE Prone  
kobieta,1500,dojazdy,codziennie,góry,początkujący,słoneczna,20,Rower gravel MARIN Nicasio
kobieta,1000,dojazdy,kilka razy w tygodniu,miasto,średniozaawansowany,dobra,20,Rower MTB SENSA Livigno Evo Sport
mężczyzna,1000,turystyka,codziennie,miasto,średniozaawansowany,dobra,5,Rower MTB GIANT Talon 1-GE
mężczyzna,10000,sport,raz w tygodniu,ścieżki rowerowe,początkujący,słoneczna,10,Rower gravel KROSS Esker 2.0
kobieta,3000,rekreacja,kilka razy w tygodniu,góry,początkujący,każda,50,Rower gravel OCTANE ONE Kode ADV
mężczyzna,3000,sport,raz w tygodniu,miasto,zaawansowany,deszczowa,5,Rower składak DAHON Mariner D8
mężczyzna,2000,turystyka,kilka razy w tygodniu,ścieżki rowerowe,początkujący,dobra,10,Rower MTB MARIN Bobcat Trail 4 27.5
